date,board_nm,board_colors
2024_01220709,fragile,"[[0.9490196078431372, 0.9490196078431372, 0.30196078431372547, 1.0], [0.7647058823529411, 0.7647058823529411, 0.7647058823529411, 1.0], [0.5843137254901961, 0.5843137254901961, 0.5843137254901961, 1.0], [0.8862745098039215, 0.37254901960784315, 0.37254901960784315, 1.0]]"
2024_01221507,tech_stack,"[[0.9764705882352941, 0.3686274509803922, 0.3686274509803922, 1.0], [0.5137254901960784, 0.5137254901960784, 0.5137254901960784, 1.0], [0.06666666666666667, 0.5215686274509804, 0.5215686274509804, 1.0]]"
2024_01221509,tech_stack,"[[0.47058823529411764, 0.47058823529411764, 0.47058823529411764, 1.0], [0.1607843137254902, 0.6549019607843137, 0.6549019607843137, 1.0], [0.0784313725490196, 0.6352941176470588, 0.6352941176470588, 1.0], [0.9098039215686274, 0.3764705882352941, 0.3764705882352941, 1.0], [0.5372549019607843, 0.1411764705882353, 0.1411764705882353, 1.0], [0.8980392156862745, 0.6392156862745098, 0.6392156862745098, 1.0], [0.16470588235294117, 0.16470588235294117, 0.42745098039215684, 1.0], [0.047058823529411764, 0.2901960784313726, 0.2901960784313726, 1.0]]"
2024_01310923,default_style,"[[0.6352941176470588, 0.6352941176470588, 0.6352941176470588, 1.0]]"
2024_01310925,default_style,"[[0.8627450980392157, 0.8627450980392157, 0.8627450980392157, 1.0]]"
2024_01310930,board_name,"[[0.796078431372549, 0.396078431372549, 0.796078431372549, 1.0], [0.06666666666666667, 0.9725490196078431, 0.5294117647058824, 1.0], [0.45098039215686275, 0.45098039215686275, 0.8509803921568627, 1.0]]"
2024_01310939,sample_board,"[[0.3686274509803922, 0.16862745098039217, 0.9647058823529412, 1.0], [0.8705882352941177, 0.596078431372549, 0.596078431372549, 1.0], [0.6274509803921569, 0.9764705882352941, 0.6274509803921569, 1.0]]"
2024_02141832,,"[[0.8627450980392157, 0.41568627450980394, 0.09411764705882353, 1.0]]"
2024_02270915,,"[[0.6, 0.6, 0.9019607843137255, 1.0], [0.3764705882352941, 0.3764705882352941, 0.3764705882352941, 1.0], [0.011764705882352941, 0.6784313725490196, 0.6784313725490196, 1.0], [0.15294117647058825, 0.15294117647058825, 0.4666666666666667, 1.0]]"
2024_03100010,,"[[0.3137254901960784, 0.3137254901960784, 0.8274509803921568, 1.0], [0.12941176470588237, 0.403921568627451, 0.12941176470588237, 1.0], [0.054901960784313725, 0.5294117647058824, 0.8156862745098039, 1.0], [0.5529411764705883, 0.13333333333333333, 0.5529411764705883, 1.0], [0.10588235294117647, 0.10588235294117647, 0.8, 1.0]]"
2024_03130407,,"[[0.8627450980392157, 0.32941176470588235, 0.8627450980392157, 1.0], [0.01568627450980392, 0.788235294117647, 0.788235294117647, 1.0], [0.8352941176470589, 0.8352941176470589, 0.1843137254901961, 1.0], [0.9764705882352941, 0.6784313725490196, 0.9764705882352941, 1.0], [0.7725490196078432, 0.7725490196078432, 0.9411764705882353, 1.0]]"
2024_03190656,,"['B4B4B4', [0.7490196078431373, 0.7490196078431373, 0.8705882352941177, 1.0], [0.1843137254901961, 0.5098039215686274, 0.996078431372549, 1.0], [0.8509803921568627, 0.5294117647058824, 0.07058823529411765, 1.0], [0.9215686274509803, 0.7764705882352941, 0.9215686274509803, 1.0], [0.15294117647058825, 0.8627450980392157, 0.8627450980392157, 1.0], [0.00392156862745098, 0.3137254901960784, 0.8745098039215686, 1.0], [0.06274509803921569, 0.06274509803921569, 0.9450980392156862, 1.0], [0.1803921568627451, 0.7529411764705882, 0.8980392156862745, 1.0]]"
2024_03190716,,"['B4B4B4', [0.3058823529411765, 0.792156862745098, 0.06666666666666667, 1.0], [0.6901960784313725, 0.6901960784313725, 0.13333333333333333, 1.0], [0.9137254901960784, 0.3764705882352941, 0.050980392156862744, 1.0], [0.9607843137254902, 0.5803921568627451, 0.5803921568627451, 1.0], [0.42745098039215684, 0.42745098039215684, 0.42745098039215684, 1.0], [0.06666666666666667, 0.803921568627451, 0.4980392156862745, 1.0], [0.17254901960784313, 0.4745098039215686, 0.4745098039215686, 1.0], [0.396078431372549, 0.396078431372549, 0.050980392156862744, 1.0], [0.8156862745098039, 0.4980392156862745, 0.10980392156862745, 1.0], [0.26666666666666666, 0.26666666666666666, 0.26666666666666666, 1.0]]"
2024_03250556,,"[(0.07450980392156863, 0.996078431372549, 0.592156862745098), (0.07058823529411765, 0.9647058823529412, 0.5725490196078431), (0.07058823529411765, 0.9333333333333333, 0.5529411764705883), (0.06666666666666667, 0.8980392156862745, 0.5333333333333333), (0.06666666666666667, 0.8666666666666667, 0.5137254901960784), (0.06274509803921569, 0.8313725490196079, 0.49411764705882355), (0.058823529411764705, 0.8, 0.4745098039215686), (0.058823529411764705, 0.7647058823529411, 0.4549019607843137), (0.054901960784313725, 0.7333333333333333, 0.43529411764705883), (0.050980392156862744, 0.6980392156862745, 0.41568627450980394), (0.050980392156862744, 0.6666666666666666, 0.396078431372549), (0.047058823529411764, 0.6313725490196078, 0.3764705882352941), (0.043137254901960784, 0.6, 0.3568627450980392), (0.043137254901960784, 0.5647058823529412, 0.33725490196078434), (0.0392156862745098, 0.5333333333333333, 0.3176470588235294), (0.03529411764705882, 0.4980392156862745, 0.2980392156862745), (0.03529411764705882, 0.4666666666666667, 0.2784313725490196), (0.03137254901960784, 0.43529411764705883, 0.25882352941176473), (0.027450980392156862, 0.4, 0.23921568627450981), (0.027450980392156862, 0.3686274509803922, 0.2196078431372549), (0.023529411764705882, 0.3333333333333333, 0.19607843137254902), (0.0196078431372549, 0.30196078431372547, 0.17647058823529413), (0.0196078431372549, 0.26666666666666666, 0.1568627450980392), (0.01568627450980392, 0.23529411764705882, 0.13725490196078433), (0.011764705882352941, 0.2, 0.11764705882352941), (0.011764705882352941, 0.16862745098039217, 0.09803921568627451), (0.00784313725490196, 0.13333333333333333, 0.0784313725490196), (0.00784313725490196, 0.10196078431372549, 0.058823529411764705), (0.00392156862745098, 0.06666666666666667, 0.0392156862745098), (0.0, 0.03529411764705882, 0.0196078431372549)]"
2024_03250613,,['B4B4B4']
2024_03250614,,['B4B4B4']
2024_03250614,,"[(1.0, 1.0, 1.0), (0.9647058823529412, 0.9647058823529412, 0.9647058823529412), (0.9333333333333333, 0.9333333333333333, 0.9333333333333333), (0.8980392156862745, 0.8980392156862745, 0.8980392156862745), (0.8666666666666667, 0.8666666666666667, 0.8666666666666667), (0.8313725490196079, 0.8313725490196079, 0.8313725490196079), (0.8, 0.8, 0.8), (0.7647058823529411, 0.7647058823529411, 0.7647058823529411), (0.7333333333333333, 0.7333333333333333, 0.7333333333333333), (0.6980392156862745, 0.6980392156862745, 0.6980392156862745), (0.6666666666666666, 0.6666666666666666, 0.6666666666666666), (0.6313725490196078, 0.6313725490196078, 0.6313725490196078), (0.6, 0.6, 0.6), (0.5647058823529412, 0.5647058823529412, 0.5647058823529412), (0.5333333333333333, 0.5333333333333333, 0.5333333333333333), (0.4980392156862745, 0.4980392156862745, 0.4980392156862745), (0.4666666666666667, 0.4666666666666667, 0.4666666666666667), (0.43137254901960786, 0.43137254901960786, 0.43137254901960786), (0.4, 0.4, 0.4), (0.36470588235294116, 0.36470588235294116, 0.36470588235294116), (0.3333333333333333, 0.3333333333333333, 0.3333333333333333), (0.2980392156862745, 0.2980392156862745, 0.2980392156862745), (0.26666666666666666, 0.26666666666666666, 0.26666666666666666), (0.23137254901960785, 0.23137254901960785, 0.23137254901960785), (0.2, 0.2, 0.2), (0.16862745098039217, 0.16862745098039217, 0.16862745098039217), (0.13333333333333333, 0.13333333333333333, 0.13333333333333333), (0.10196078431372549, 0.10196078431372549, 0.10196078431372549), (0.06666666666666667, 0.06666666666666667, 0.06666666666666667), (0.03529411764705882, 0.03529411764705882, 0.03529411764705882)]"
2024_03250617,,['B4B4B4']
2024_03250624,,['B4B4B4']
